date1,date2,date3,date4,date5,date6,date7,date8,pce,pop,psavert,uempmed,unemploy
1983-06-01,19830601,1983m6,Jun 1983,"June 01, 1983",01-Jun-1983,June 01 (1983),06/01/83,2276,234118,9.1,11.3,11246
1983-07-01,19830701,1983m7,Jul 1983,"July 01, 1983",01-Jul-1983,July 01 (1983),07/01/83,2304.4,234307,9.6,10.1,10548
1983-08-01,19830801,1983m8,Aug 1983,"August 01, 1983",01-Aug-1983,August 01 (1983),08/01/83,2320.4,234501,9.2,9.3,10623
1983-09-01,19830901,1983m9,Sep 1983,"September 01, 1983",01-Sep-1983,September 01 (1983),09/01/83,2334.9,234701,9.6,9.3,10282
1983-10-01,19831001,1983m10,Oct 1983,"October 01, 1983",01-Oct-1983,October 01 (1983),10/01/83,2357.6,234907,9.7,9.4,9887
1983-11-01,19831101,1983m11,Nov 1983,"November 01, 1983",01-Nov-1983,November 01 (1983),11/01/83,2366.3,235078,10.3,9.3,9499
1983-12-01,19831201,1983m12,Dec 1983,"December 01, 1983",01-Dec-1983,December 01 (1983),12/01/83,2393.6,235235,10.1,8.7,9331
1984-01-01,19840101,1984m1,Jan 1984,"January 01, 1984",01-Jan-1984,January 01 (1984),01/01/84,2419.4,235385,10,9.1,9008
1984-02-01,19840201,1984m2,Feb 1984,"February 01, 1984",01-Feb-1984,February 01 (1984),02/01/84,2403.5,235527,11.7,8.3,8791
1984-03-01,19840301,1984m3,Mar 1984,"March 01, 1984",01-Mar-1984,March 01 (1984),03/01/84,2431.6,235675,11.5,8.3,8746
1984-04-01,19840401,1984m4,Apr 1984,"April 01, 1984",01-Apr-1984,April 01 (1984),04/01/84,2457.5,235839,11.5,8.2,8762
1984-05-01,19840501,1984m5,May 1984,"May 01, 1984",01-May-1984,May 01 (1984),05/01/84,2474.5,235993,11.1,9.1,8456
1984-06-01,19840601,1984m6,Jun 1984,"June 01, 1984",01-Jun-1984,June 01 (1984),06/01/84,2495.6,236160,11.1,7.5,8226
1984-07-01,19840701,1984m7,Jul 1984,"July 01, 1984",01-Jul-1984,July 01 (1984),07/01/84,2494.6,236348,11.6,7.5,8537
1984-08-01,19840801,1984m8,Aug 1984,"August 01, 1984",01-Aug-1984,August 01 (1984),08/01/84,2512.2,236549,11.8,7.3,8519
1984-09-01,19840901,1984m9,Sep 1984,"September 01, 1984",01-Sep-1984,September 01 (1984),09/01/84,2533.8,236760,11.8,7.6,8367
1984-10-01,19841001,1984m10,Oct 1984,"October 01, 1984",01-Oct-1984,October 01 (1984),10/01/84,2531.3,236976,11.7,7.2,8381
1984-11-01,19841101,1984m11,Nov 1984,"November 01, 1984",01-Nov-1984,November 01 (1984),11/01/84,2571.4,237159,10.9,7.2,8198
1984-12-01,19841201,1984m12,Dec 1984,"December 01, 1984",01-Dec-1984,December 01 (1984),12/01/84,2582.6,237316,11.2,7.3,8358
1985-01-01,19850101,1985m1,Jan 1985,"January 01, 1985",01-Jan-1985,January 01 (1985),01/01/85,2618.8,237468,10.3,6.8,8423
1985-02-01,19850201,1985m2,Feb 1985,"February 01, 1985",01-Feb-1985,February 01 (1985),02/01/85,2640.8,237602,9.1,7.1,8321
1985-03-01,19850301,1985m3,Mar 1985,"March 01, 1985",01-Mar-1985,March 01 (1985),03/01/85,2648.5,237732,8.7,7.1,8339
1985-04-01,19850401,1985m4,Apr 1985,"April 01, 1985",01-Apr-1985,April 01 (1985),04/01/85,2659.5,237900,9.9,6.9,8395
1985-05-01,19850501,1985m5,May 1985,"May 01, 1985",01-May-1985,May 01 (1985),05/01/85,2696.4,238074,11.1,6.9,8302
1985-06-01,19850601,1985m6,Jun 1985,"June 01, 1985",01-Jun-1985,June 01 (1985),06/01/85,2689.4,238270,9.6,6.6,8460
1985-07-01,19850701,1985m7,Jul 1985,"July 01, 1985",01-Jul-1985,July 01 (1985),07/01/85,2715.7,238466,9.1,6.9,8513
1985-08-01,19850801,1985m8,Aug 1985,"August 01, 1985",01-Aug-1985,August 01 (1985),08/01/85,2752.1,238679,8.2,7.1,8196
1985-09-01,19850901,1985m9,Sep 1985,"September 01, 1985",01-Sep-1985,September 01 (1985),09/01/85,2794.7,238898,7.3,6.9,8248
1985-10-01,19851001,1985m10,Oct 1985,"October 01, 1985",01-Oct-1985,October 01 (1985),10/01/85,2755.8,239113,9.1,7.1,8298
1985-11-01,19851101,1985m11,Nov 1985,"November 01, 1985",01-Nov-1985,November 01 (1985),11/01/85,2771.1,239307,9,7,8128
1985-12-01,19851201,1985m12,Dec 1985,"December 01, 1985",01-Dec-1985,December 01 (1985),12/01/85,2811.3,239477,8.6,6.8,8138
1986-01-01,19860101,1986m1,Jan 1986,"January 01, 1986",01-Jan-1986,January 01 (1986),01/01/86,2827.1,239638,8.6,6.7,7795
1986-02-01,19860201,1986m2,Feb 1986,"February 01, 1986",01-Feb-1986,February 01 (1986),02/01/86,2820.2,239788,9.3,6.9,8402
1986-03-01,19860301,1986m3,Mar 1986,"March 01, 1986",01-Mar-1986,March 01 (1986),03/01/86,2823.6,239928,9.9,6.8,8383
1986-04-01,19860401,1986m4,Apr 1986,"April 01, 1986",01-Apr-1986,April 01 (1986),04/01/86,2835.2,240094,9.7,6.7,8364
1986-05-01,19860501,1986m5,May 1986,"May 01, 1986",01-May-1986,May 01 (1986),05/01/86,2857.5,240271,9.3,6.8,8439
1986-06-01,19860601,1986m6,Jun 1986,"June 01, 1986",01-Jun-1986,June 01 (1986),06/01/86,2861.7,240459,9.4,7,8508
1986-07-01,19860701,1986m7,Jul 1986,"July 01, 1986",01-Jul-1986,July 01 (1986),07/01/86,2881.2,240651,9.3,6.9,8319
1986-08-01,19860801,1986m8,Aug 1986,"August 01, 1986",01-Aug-1986,August 01 (1986),08/01/86,2898.6,240854,9,7.1,8135
1986-09-01,19860901,1986m9,Sep 1986,"September 01, 1986",01-Sep-1986,September 01 (1986),09/01/86,2971.8,241068,7.2,7.4,8310
1986-10-01,19861001,1986m10,Oct 1986,"October 01, 1986",01-Oct-1986,October 01 (1986),10/01/86,2932.9,241274,8.4,7,8243
1986-11-01,19861101,1986m11,Nov 1986,"November 01, 1986",01-Nov-1986,November 01 (1986),11/01/86,2928.4,241467,8.8,7.1,8159
1986-12-01,19861201,1986m12,Dec 1986,"December 01, 1986",01-Dec-1986,December 01 (1986),12/01/86,2997.1,241620,7,7.1,7883
1987-01-01,19870101,1987m1,Jan 1987,"January 01, 1987",01-Jan-1987,January 01 (1987),01/01/87,2935.5,241784,9.7,6.9,7892
1987-02-01,19870201,1987m2,Feb 1987,"February 01, 1987",01-Feb-1987,February 01 (1987),02/01/87,3001.7,241930,8.5,6.6,7865
1987-03-01,19870301,1987m3,Mar 1987,"March 01, 1987",01-Mar-1987,March 01 (1987),03/01/87,3013.3,242079,8.5,6.6,7862
1987-04-01,19870401,1987m4,Apr 1987,"April 01, 1987",01-Apr-1987,April 01 (1987),04/01/87,3038.8,242252,4.5,7.1,7542
1987-05-01,19870501,1987m5,May 1987,"May 01, 1987",01-May-1987,May 01 (1987),05/01/87,3048.4,242423,8.2,6.6,7574
1987-06-01,19870601,1987m6,Jun 1987,"June 01, 1987",01-Jun-1987,June 01 (1987),06/01/87,3072.8,242608,7.7,6.5,7398
1987-07-01,19870701,1987m7,Jul 1987,"July 01, 1987",01-Jul-1987,July 01 (1987),07/01/87,3094.7,242804,7.5,6.5,7268
1987-08-01,19870801,1987m8,Aug 1987,"August 01, 1987",01-Aug-1987,August 01 (1987),08/01/87,3130.8,243012,7.2,6.4,7261
1987-09-01,19870901,1987m9,Sep 1987,"September 01, 1987",01-Sep-1987,September 01 (1987),09/01/87,3126.5,243223,7.6,6,7102
1987-10-01,19871001,1987m10,Oct 1987,"October 01, 1987",01-Oct-1987,October 01 (1987),10/01/87,3134.5,243446,8.3,6.3,7227
1987-11-01,19871101,1987m11,Nov 1987,"November 01, 1987",01-Nov-1987,November 01 (1987),11/01/87,3144.2,243639,8.5,6.2,7035
1987-12-01,19871201,1987m12,Dec 1987,"December 01, 1987",01-Dec-1987,December 01 (1987),12/01/87,3174.1,243809,8.7,6,6936
1988-01-01,19880101,1988m1,Jan 1988,"January 01, 1988",01-Jan-1988,January 01 (1988),01/01/88,3213.7,243981,8.1,6.2,6953
1988-02-01,19880201,1988m2,Feb 1988,"February 01, 1988",01-Feb-1988,February 01 (1988),02/01/88,3221.4,244131,8.6,6.3,6929
1988-03-01,19880301,1988m3,Mar 1988,"March 01, 1988",01-Mar-1988,March 01 (1988),03/01/88,3260.5,244279,8.2,6.4,6876
1988-04-01,19880401,1988m4,Apr 1988,"April 01, 1988",01-Apr-1988,April 01 (1988),04/01/88,3263,244445,8.8,5.9,6601
1988-05-01,19880501,1988m5,May 1988,"May 01, 1988",01-May-1988,May 01 (1988),05/01/88,3293.6,244610,8.4,5.9,6779
1988-06-01,19880601,1988m6,Jun 1988,"June 01, 1988",01-Jun-1988,June 01 (1988),06/01/88,3318.5,244806,8.4,5.8,6546
1988-07-01,19880701,1988m7,Jul 1988,"July 01, 1988",01-Jul-1988,July 01 (1988),07/01/88,3342.7,245021,8.6,6.1,6605
1988-08-01,19880801,1988m8,Aug 1988,"August 01, 1988",01-Aug-1988,August 01 (1988),08/01/88,3368,245240,8.4,5.9,6843
1988-09-01,19880901,1988m9,Sep 1988,"September 01, 1988",01-Sep-1988,September 01 (1988),09/01/88,3375,245464,8.9,5.7,6604
1988-10-01,19881001,1988m10,Oct 1988,"October 01, 1988",01-Oct-1988,October 01 (1988),10/01/88,3413.7,245693,8.6,5.6,6568
1988-11-01,19881101,1988m11,Nov 1988,"November 01, 1988",01-Nov-1988,November 01 (1988),11/01/88,3430.2,245884,8.4,5.7,6537
1988-12-01,19881201,1988m12,Dec 1988,"December 01, 1988",01-Dec-1988,December 01 (1988),12/01/88,3459.7,246056,8.3,5.9,6518
1989-01-01,19890101,1989m1,Jan 1989,"January 01, 1989",01-Jan-1989,January 01 (1989),01/01/89,3483.7,246224,8.5,5.6,6682
1989-02-01,19890201,1989m2,Feb 1989,"February 01, 1989",01-Feb-1989,February 01 (1989),02/01/89,3488,246378,9,5.4,6359
1989-03-01,19890301,1989m3,Mar 1989,"March 01, 1989",01-Mar-1989,March 01 (1989),03/01/89,3498.8,246530,9.5,5.4,6205
1989-04-01,19890401,1989m4,Apr 1989,"April 01, 1989",01-Apr-1989,April 01 (1989),04/01/89,3543,246721,8.4,5.4,6468
1989-05-01,19890501,1989m5,May 1989,"May 01, 1989",01-May-1989,May 01 (1989),05/01/89,3551.8,246906,8.1,5.3,6375
1989-06-01,19890601,1989m6,Jun 1989,"June 01, 1989",01-Jun-1989,June 01 (1989),06/01/89,3566.6,247114,8.2,5.4,6577
1989-07-01,19890701,1989m7,Jul 1989,"July 01, 1989",01-Jul-1989,July 01 (1989),07/01/89,3585.7,247342,8.2,5.6,6495
1989-08-01,19890801,1989m8,Aug 1989,"August 01, 1989",01-Aug-1989,August 01 (1989),08/01/89,3620.6,247573,7.6,5,6511
1989-09-01,19890901,1989m9,Sep 1989,"September 01, 1989",01-Sep-1989,September 01 (1989),09/01/89,3621.9,247816,8.1,4.9,6590
1989-10-01,19891001,1989m10,Oct 1989,"October 01, 1989",01-Oct-1989,October 01 (1989),10/01/89,3633.6,248067,8.5,4.9,6630
1989-11-01,19891101,1989m11,Nov 1989,"November 01, 1989",01-Nov-1989,November 01 (1989),11/01/89,3643.3,248281,8.6,4.8,6725
1989-12-01,19891201,1989m12,Dec 1989,"December 01, 1989",01-Dec-1989,December 01 (1989),12/01/89,3684.2,248479,7.8,4.9,6667
1990-01-01,19900101,1990m1,Jan 1990,"January 01, 1990",01-Jan-1990,January 01 (1990),01/01/90,3730.7,248659,8,5.1,6752
1990-02-01,19900201,1990m2,Feb 1990,"February 01, 1990",01-Feb-1990,February 01 (1990),02/01/90,3728.2,248827,8.6,5.3,6651
1990-03-01,19900301,1990m3,Mar 1990,"March 01, 1990",01-Mar-1990,March 01 (1990),03/01/90,3754.9,249012,8.3,5.1,6598
1990-04-01,19900401,1990m4,Apr 1990,"April 01, 1990",01-Apr-1990,April 01 (1990),04/01/90,3770,249306,8.8,4.8,6797
1990-05-01,19900501,1990m5,May 1990,"May 01, 1990",01-May-1990,May 01 (1990),05/01/90,3775.8,249565,8.7,5.2,6742
1990-06-01,19900601,1990m6,Jun 1990,"June 01, 1990",01-Jun-1990,June 01 (1990),06/01/90,3804.5,249849,8.6,5.2,6590
1990-07-01,19900701,1990m7,Jul 1990,"July 01, 1990",01-Jul-1990,July 01 (1990),07/01/90,3821.7,250132,8.7,5.4,6922
1990-08-01,19900801,1990m8,Aug 1990,"August 01, 1990",01-Aug-1990,August 01 (1990),08/01/90,3848.3,250439,8.1,5.4,7188
1990-09-01,19900901,1990m9,Sep 1990,"September 01, 1990",01-Sep-1990,September 01 (1990),09/01/90,3870.1,250751,8.1,5.6,7368
1990-10-01,19901001,1990m10,Oct 1990,"October 01, 1990",01-Oct-1990,October 01 (1990),10/01/90,3870.6,251057,7.8,5.8,7459
1990-11-01,19901101,1990m11,Nov 1990,"November 01, 1990",01-Nov-1990,November 01 (1990),11/01/90,3871.9,251346,7.9,5.7,7764
1990-12-01,19901201,1990m12,Dec 1990,"December 01, 1990",01-Dec-1990,December 01 (1990),12/01/90,3861.3,251626,8.8,5.9,7901
1991-01-01,19910101,1991m1,Jan 1991,"January 01, 1991",01-Jan-1991,January 01 (1991),01/01/91,3841,251889,9.3,6,8015
1991-02-01,19910201,1991m2,Feb 1991,"February 01, 1991",01-Feb-1991,February 01 (1991),02/01/91,3866.7,252135,8.8,6.2,8265
1991-03-01,19910301,1991m3,Mar 1991,"March 01, 1991",01-Mar-1991,March 01 (1991),03/01/91,3913,252372,8,6.7,8586
1991-04-01,19910401,1991m4,Apr 1991,"April 01, 1991",01-Apr-1991,April 01 (1991),04/01/91,3907.1,252643,8.6,6.6,8439
1991-05-01,19910501,1991m5,May 1991,"May 01, 1991",01-May-1991,May 01 (1991),05/01/91,3933.2,252913,8.4,6.4,8736
1991-06-01,19910601,1991m6,Jun 1991,"June 01, 1991",01-Jun-1991,June 01 (1991),06/01/91,3940.5,253207,8.9,6.9,8692
1991-07-01,19910701,1991m7,Jul 1991,"July 01, 1991",01-Jul-1991,July 01 (1991),07/01/91,3966,253493,8.2,7,8586
1991-08-01,19910801,1991m8,Aug 1991,"August 01, 1991",01-Aug-1991,August 01 (1991),08/01/91,3969.1,253807,8.6,7.3,8666
1991-09-01,19910901,1991m9,Sep 1991,"September 01, 1991",01-Sep-1991,September 01 (1991),09/01/91,3984.7,254126,8.8,6.8,8722
1991-10-01,19911001,1991m10,Oct 1991,"October 01, 1991",01-Oct-1991,October 01 (1991),10/01/91,3976,254435,9.3,7.2,8842
1991-11-01,19911101,1991m11,Nov 1991,"November 01, 1991",01-Nov-1991,November 01 (1991),11/01/91,4003.6,254718,9,7.5,8931
1991-12-01,19911201,1991m12,Dec 1991,"December 01, 1991",01-Dec-1991,December 01 (1991),12/01/91,4020.5,254964,9.7,7.8,9198
1992-01-01,19920101,1992m1,Jan 1992,"January 01, 1992",01-Jan-1992,January 01 (1992),01/01/92,4084.7,255214,9.4,8.1,9283
1992-02-01,19920201,1992m2,Feb 1992,"February 01, 1992",01-Feb-1992,February 01 (1992),02/01/92,4099.5,255448,9.8,8.2,9454
1992-03-01,19920301,1992m3,Mar 1992,"March 01, 1992",01-Mar-1992,March 01 (1992),03/01/92,4117,255703,9.7,8.3,9460
1992-04-01,19920401,1992m4,Apr 1992,"April 01, 1992",01-Apr-1992,April 01 (1992),04/01/92,4131.5,255992,9.9,8.5,9415
1992-05-01,19920501,1992m5,May 1992,"May 01, 1992",01-May-1992,May 01 (1992),05/01/92,4158.4,256285,9.9,8.8,9744
1992-06-01,19920601,1992m6,Jun 1992,"June 01, 1992",01-Jun-1992,June 01 (1992),06/01/92,4177.1,256589,10.1,8.7,10040
1992-07-01,19920701,1992m7,Jul 1992,"July 01, 1992",01-Jul-1992,July 01 (1992),07/01/92,4204.8,256894,9.6,8.6,9850
1992-08-01,19920801,1992m8,Aug 1992,"August 01, 1992",01-Aug-1992,August 01 (1992),08/01/92,4220.9,257232,9.7,8.8,9787
1992-09-01,19920901,1992m9,Sep 1992,"September 01, 1992",01-Sep-1992,September 01 (1992),09/01/92,4255.3,257548,8.7,8.6,9781
1992-10-01,19921001,1992m10,Oct 1992,"October 01, 1992",01-Oct-1992,October 01 (1992),10/01/92,4284.7,257861,8,9,9398
1992-11-01,19921101,1992m11,Nov 1992,"November 01, 1992",01-Nov-1992,November 01 (1992),11/01/92,4300.5,258147,8,9,9565
1992-12-01,19921201,1992m12,Dec 1992,"December 01, 1992",01-Dec-1992,December 01 (1992),12/01/92,4336.4,258413,10.6,9.3,9557
1993-01-01,19930101,1993m1,Jan 1993,"January 01, 1993",01-Jan-1993,January 01 (1993),01/01/93,4340.7,258679,8.6,8.6,9325
1993-02-01,19930201,1993m2,Feb 1993,"February 01, 1993",01-Feb-1993,February 01 (1993),02/01/93,4355.3,258919,8.9,8.5,9183
1993-03-01,19930301,1993m3,Mar 1993,"March 01, 1993",01-Mar-1993,March 01 (1993),03/01/93,4352.5,259152,8.9,8.5,9056
1993-04-01,19930401,1993m4,Apr 1993,"April 01, 1993",01-Apr-1993,April 01 (1993),04/01/93,4393.4,259414,8.7,8.4,9110
1993-05-01,19930501,1993m5,May 1993,"May 01, 1993",01-May-1993,May 01 (1993),05/01/93,4422.4,259680,8.3,8.1,9149
1993-06-01,19930601,1993m6,Jun 1993,"June 01, 1993",01-Jun-1993,June 01 (1993),06/01/93,4440,259963,7.8,8.3,9121
1993-07-01,19930701,1993m7,Jul 1993,"July 01, 1993",01-Jul-1993,July 01 (1993),07/01/93,4468.9,260255,7.6,8.2,8930
1993-08-01,19930801,1993m8,Aug 1993,"August 01, 1993",01-Aug-1993,August 01 (1993),08/01/93,4481.1,260566,7.7,8.2,8763
1993-09-01,19930901,1993m9,Sep 1993,"September 01, 1993",01-Sep-1993,September 01 (1993),09/01/93,4511.5,260867,6.9,8.3,8714
1993-10-01,19931001,1993m10,Oct 1993,"October 01, 1993",01-Oct-1993,October 01 (1993),10/01/93,4532.8,261163,6.3,8,8750
1993-11-01,19931101,1993m11,Nov 1993,"November 01, 1993",01-Nov-1993,November 01 (1993),11/01/93,4554.1,261425,6.3,8.3,8542
1993-12-01,19931201,1993m12,Dec 1993,"December 01, 1993",01-Dec-1993,December 01 (1993),12/01/93,4571.1,261674,9.1,8.3,8477
1994-01-01,19940101,1994m1,Jan 1994,"January 01, 1994",01-Jan-1994,January 01 (1994),01/01/94,4585.1,261919,7.1,8.6,8630
1994-02-01,19940201,1994m2,Feb 1994,"February 01, 1994",01-Feb-1994,February 01 (1994),02/01/94,4632.6,262123,6.5,9.2,8583
1994-03-01,19940301,1994m3,Mar 1994,"March 01, 1994",01-Mar-1994,March 01 (1994),03/01/94,4646,262352,6.8,9.3,8470
1994-04-01,19940401,1994m4,Apr 1994,"April 01, 1994",01-Apr-1994,April 01 (1994),04/01/94,4671.1,262631,6.4,9.1,8331
1994-05-01,19940501,1994m5,May 1994,"May 01, 1994",01-May-1994,May 01 (1994),05/01/94,4669.5,262877,7.6,9.2,7915
1994-06-01,19940601,1994m6,Jun 1994,"June 01, 1994",01-Jun-1994,June 01 (1994),06/01/94,4708.9,263152,6.9,9.3,7927
1994-07-01,19940701,1994m7,Jul 1994,"July 01, 1994",01-Jul-1994,July 01 (1994),07/01/94,4720.6,263436,7,9,7946
1994-08-01,19940801,1994m8,Aug 1994,"August 01, 1994",01-Aug-1994,August 01 (1994),08/01/94,4762.6,263724,6.5,8.9,7933
1994-09-01,19940901,1994m9,Sep 1994,"September 01, 1994",01-Sep-1994,September 01 (1994),09/01/94,4775,264017,6.8,9.2,7734
1994-10-01,19941001,1994m10,Oct 1994,"October 01, 1994",01-Oct-1994,October 01 (1994),10/01/94,4812.9,264301,7.1,10,7632
1994-11-01,19941101,1994m11,Nov 1994,"November 01, 1994",01-Nov-1994,November 01 (1994),11/01/94,4825.6,264559,7,9,7375
1994-12-01,19941201,1994m12,Dec 1994,"December 01, 1994",01-Dec-1994,December 01 (1994),12/01/94,4841.6,264804,7.2,8.7,7230
1995-01-01,19950101,1995m1,Jan 1995,"January 01, 1995",01-Jan-1995,January 01 (1995),01/01/95,4851.2,265044,7.5,8,7375
1995-02-01,19950201,1995m2,Feb 1995,"February 01, 1995",01-Feb-1995,February 01 (1995),02/01/95,4850.8,265270,7.8,8.1,7187
1995-03-01,19950301,1995m3,Mar 1995,"March 01, 1995",01-Mar-1995,March 01 (1995),03/01/95,4885.4,265495,7.5,8.3,7153
1995-04-01,19950401,1995m4,Apr 1995,"April 01, 1995",01-Apr-1995,April 01 (1995),04/01/95,4890.2,265755,6.9,8.3,7645
1995-05-01,19950501,1995m5,May 1995,"May 01, 1995",01-May-1995,May 01 (1995),05/01/95,4933.1,265998,7.1,9.1,7430
1995-06-01,19950601,1995m6,Jun 1995,"June 01, 1995",01-Jun-1995,June 01 (1995),06/01/95,4977.5,266270,6.7,7.9,7427
1995-07-01,19950701,1995m7,Jul 1995,"July 01, 1995",01-Jul-1995,July 01 (1995),07/01/95,4970.2,266557,7.1,8.5,7527
1995-08-01,19950801,1995m8,Aug 1995,"August 01, 1995",01-Aug-1995,August 01 (1995),08/01/95,5005.3,266843,6.7,8.3,7484
1995-09-01,19950901,1995m9,Sep 1995,"September 01, 1995",01-Sep-1995,September 01 (1995),09/01/95,5020.5,267152,6.8,7.9,7478
1995-10-01,19951001,1995m10,Oct 1995,"October 01, 1995",01-Oct-1995,October 01 (1995),10/01/95,5013.9,267456,7.1,8.2,7328
1995-11-01,19951101,1995m11,Nov 1995,"November 01, 1995",01-Nov-1995,November 01 (1995),11/01/95,5055.6,267715,6.6,8,7426
1995-12-01,19951201,1995m12,Dec 1995,"December 01, 1995",01-Dec-1995,December 01 (1995),12/01/95,5097.5,267943,6.1,8.3,7423
1996-01-01,19960101,1996m1,Jan 1996,"January 01, 1996",01-Jan-1996,January 01 (1996),01/01/96,5085.7,268151,6.7,8.3,7491
1996-02-01,19960201,1996m2,Feb 1996,"February 01, 1996",01-Feb-1996,February 01 (1996),02/01/96,5132.8,268364,6.7,7.8,7313
1996-03-01,19960301,1996m3,Mar 1996,"March 01, 1996",01-Mar-1996,March 01 (1996),03/01/96,5173.3,268595,6.6,8.3,7318
1996-04-01,19960401,1996m4,Apr 1996,"April 01, 1996",01-Apr-1996,April 01 (1996),04/01/96,5208,268853,5.7,8.6,7415
1996-05-01,19960501,1996m5,May 1996,"May 01, 1996",01-May-1996,May 01 (1996),05/01/96,5223.8,269108,6.7,8.6,7423
1996-06-01,19960601,1996m6,Jun 1996,"June 01, 1996",01-Jun-1996,June 01 (1996),06/01/96,5229.8,269386,7.1,8.3,7095
1996-07-01,19960701,1996m7,Jul 1996,"July 01, 1996",01-Jul-1996,July 01 (1996),07/01/96,5251.9,269667,6.7,8.3,7337
1996-08-01,19960801,1996m8,Aug 1996,"August 01, 1996",01-Aug-1996,August 01 (1996),08/01/96,5275,269976,6.6,8.4,6882
1996-09-01,19960901,1996m9,Sep 1996,"September 01, 1996",01-Sep-1996,September 01 (1996),09/01/96,5296.6,270284,6.7,8.5,6979
1996-10-01,19961001,1996m10,Oct 1996,"October 01, 1996",01-Oct-1996,October 01 (1996),10/01/96,5328.5,270581,6.4,8.3,7031
1996-11-01,19961101,1996m11,Nov 1996,"November 01, 1996",01-Nov-1996,November 01 (1996),11/01/96,5351.2,270878,6.4,7.7,7236
1996-12-01,19961201,1996m12,Dec 1996,"December 01, 1996",01-Dec-1996,December 01 (1996),12/01/96,5378.6,271125,6.4,7.8,7253
1997-01-01,19970101,1997m1,Jan 1997,"January 01, 1997",01-Jan-1997,January 01 (1997),01/01/97,5411.1,271360,6.2,7.8,7158
1997-02-01,19970201,1997m2,Feb 1997,"February 01, 1997",01-Feb-1997,February 01 (1997),02/01/97,5434,271585,6.2,8.1,7102
1997-03-01,19970301,1997m3,Mar 1997,"March 01, 1997",01-Mar-1997,March 01 (1997),03/01/97,5454.2,271821,6.4,7.9,7000
1997-04-01,19970401,1997m4,Apr 1997,"April 01, 1997",01-Apr-1997,April 01 (1997),04/01/97,5459.3,272083,6.5,8.3,6873
1997-05-01,19970501,1997m5,May 1997,"May 01, 1997",01-May-1997,May 01 (1997),05/01/97,5460.2,272342,6.8,8,6655
1997-06-01,19970601,1997m6,Jun 1997,"June 01, 1997",01-Jun-1997,June 01 (1997),06/01/97,5494.2,272622,6.6,8,6799
1997-07-01,19970701,1997m7,Jul 1997,"July 01, 1997",01-Jul-1997,July 01 (1997),07/01/97,5548.8,272912,6.1,8.3,6655
1997-08-01,19970801,1997m8,Aug 1997,"August 01, 1997",01-Aug-1997,August 01 (1997),08/01/97,5587,273237,6,7.8,6608
1997-09-01,19970901,1997m9,Sep 1997,"September 01, 1997",01-Sep-1997,September 01 (1997),09/01/97,5601.7,273553,6.2,8.2,6656
1997-10-01,19971001,1997m10,Oct 1997,"October 01, 1997",01-Oct-1997,October 01 (1997),10/01/97,5637.7,273852,6.2,7.7,6454
1997-11-01,19971101,1997m11,Nov 1997,"November 01, 1997",01-Nov-1997,November 01 (1997),11/01/97,5661.1,274126,6.4,7.6,6308
1997-12-01,19971201,1997m12,Dec 1997,"December 01, 1997",01-Dec-1997,December 01 (1997),12/01/97,5692.1,274372,6.4,7.5,6476
1998-01-01,19980101,1998m1,Jan 1998,"January 01, 1998",01-Jan-1998,January 01 (1998),01/01/98,5689.9,274626,7.4,7.4,6368
1998-02-01,19980201,1998m2,Feb 1998,"February 01, 1998",01-Feb-1998,February 01 (1998),02/01/98,5723.8,274838,7.4,7,6306
1998-03-01,19980301,1998m3,Mar 1998,"March 01, 1998",01-Mar-1998,March 01 (1998),03/01/98,5750.3,275047,7.5,6.8,6422
1998-04-01,19980401,1998m4,Apr 1998,"April 01, 1998",01-Apr-1998,April 01 (1998),04/01/98,5788.1,275304,7.2,6.7,5941
1998-05-01,19980501,1998m5,May 1998,"May 01, 1998",01-May-1998,May 01 (1998),05/01/98,5837.9,275564,6.9,6,6047
1998-06-01,19980601,1998m6,Jun 1998,"June 01, 1998",01-Jun-1998,June 01 (1998),06/01/98,5871.7,275836,6.8,6.9,6212
1998-07-01,19980701,1998m7,Jul 1998,"July 01, 1998",01-Jul-1998,July 01 (1998),07/01/98,5890,276115,6.9,6.7,6259
1998-08-01,19980801,1998m8,Aug 1998,"August 01, 1998",01-Aug-1998,August 01 (1998),08/01/98,5925,276418,6.8,6.8,6179
1998-09-01,19980901,1998m9,Sep 1998,"September 01, 1998",01-Sep-1998,September 01 (1998),09/01/98,5965.6,276714,6.4,6.7,6300
1998-10-01,19981001,1998m10,Oct 1998,"October 01, 1998",01-Oct-1998,October 01 (1998),10/01/98,5998.8,277003,6.2,5.8,6280
1998-11-01,19981101,1998m11,Nov 1998,"November 01, 1998",01-Nov-1998,November 01 (1998),11/01/98,6015.4,277277,6.3,6.6,6100
1998-12-01,19981201,1998m12,Dec 1998,"December 01, 1998",01-Dec-1998,December 01 (1998),12/01/98,6070.5,277526,5.8,6.8,6032
1999-01-01,19990101,1999m1,Jan 1999,"January 01, 1999",01-Jan-1999,January 01 (1999),01/01/99,6072.9,277790,6.4,6.9,5976
1999-02-01,19990201,1999m2,Feb 1999,"February 01, 1999",01-Feb-1999,February 01 (1999),02/01/99,6101.8,277992,6.2,6.8,6111
1999-03-01,19990301,1999m3,Mar 1999,"March 01, 1999",01-Mar-1999,March 01 (1999),03/01/99,6132.9,278198,5.9,6.8,5783
